Symbol, CompanyName, MarketCap, PE Ratio, StockPrice
AAL,American Airlines Group Inc.,-1602132224,7.62,35.0
AAOI,Applied Optoelectronics Inc.,260263404,24.24,12.5
AAON,AAON Inc.,-1886153908,57.11,45.38
AAPL,Apple Inc.,1424863072,16.35,199.14
AAWW,Atlas Air Worldwide Holdings,1328647781,7.1,50.66
AAXN,Axon Enterprise Inc.,-637875771,118.98,61.74
ABCB,Ameris Bancorp,1710691859,10.76,35.86
ABDC,Alcentra Capital Corp.,101330704,7.79,7.82
ABEO,Abeona Therapeutics Inc.,368733147,-6.81,7.71
ABMD,ABIOMED Inc.,-708127404,99.29,272.14
ABTX,Allegiance Bancshares Inc.,798611542,14.62,36.53
ABUS,Arbutus Biopharma Corporation,213672558,-2.54,3.85
ACAD,ACADIA Pharmaceuticals Inc.,-600067752,-13.17,26.27
ACBI,Atlantic Capital Bancshares Inc.,455206910,17.52,18.38
ACER,Acer Therapeutics Inc.,270946570,-10.96,26.42
ACET,Aceto Corporation,4147909,-0.16,0.159
ACGL,Arch Capital Group Ltd.,386828550,14.95,32.75
ACHC,Acadia Healthcare Company Inc.,-1699951446,13.1,29.48
ACHN,Achillion Pharmaceuticals Inc.,446664474,-6.31,3.18
ACIA,Acacia Communications Inc.,-1829280114,173.94,60.46
ACIU,AC Immune SA,335109172,-6.12,4.98
ACIW,ACI Worldwide Inc.,-343770937,45.36,34.57
ACLS,Axcelis Technologies Inc.,704133423,16.37,21.08
ACMR,ACM Research Inc.,250128758,29.92,15.62
ACOR,Acorda Therapeutics Inc.,583509236,7.56,12.45
ACRS,Aclaris Therapeutics Inc.,248855947,-1.49,6.13
ACRX,AcelRx Pharmaceuticals Inc.,266989383,-4.13,3.4
ADAP,Adaptimmune Therapeutics plc,451309660,-4.18,4.45
ADBE,Adobe Inc.,-489642812,47.95,273.01
ADES,Advanced Emissions Solutions Inc.,236424776,7.26,12.67
ADI,Analog Devices Inc.,-884495158,19.49,112.82
ADMA,ADMA Biologics Inc,228520625,-3.47,4.97
ADMP,Adamis Pharmaceuticals Corporation,94582716,-1.98,2.04
ADMS,Adamas Pharmaceuticals Inc.,176771496,-1.32,6.71
ADOM,ADOMANI Inc.,25047453,-11.46,0.35
ADP,Automatic Data Processing Inc.,-1871764911,35.27,162.16
ADRO,Aduro Biotech Inc.,293057005,-3.16,3.8
ADSK,Autodesk Inc.,-923188090,-127.31,173.02
ADTN,ADTRAN Inc.,687511649,-34.26,14.29
ADUS,Addus HomeCare Corporation,849691519,38.38,65.47
ADVM,Adverum Biotechnologies Inc.,322325146,-4.59,5.25
ADXS,Advaxis Inc.,28424793,-0.35,3.78
AEGN,Aegion Corp,615709556,16.29,19.36
AEIS,Advanced Energy Industries Inc.,2085935998,13.38,54.05
AEMD,Aethlon Medical Inc.,15513864,-2.41,0.85
AERI,Aerie Pharmaceuticals Inc.,1923579375,-8.21,43.99
AEZS,Aeterna Zentaris Inc.,75053536,18.52,4.6
AFH,Atlas Financial Holdings Inc.,18979782,-0.92,1.74
AFMD,Affimed N.V.,246598919,-10.13,4.15
AGEN,Agenus Inc.,348933972,-1.93,2.67
AGIO,Agios Pharmaceuticals Inc.,-714160203,-10.17,62.84
AGLE,Aeglea BioTherapeutics Inc.,208944275,-3.4,7.39
AGNC,AGNC Investment Corp.,1166073491,7.68,18.17
AGRX,Agile Therapeutics Inc.,63525143,-2.49,1.48
AGTC,Applied Genetic Technologies Corporation,84467501,-4.47,4.65
AIMC,Altra Industrial Motion Corp.,2112844144,12.32,32.63
AIMT,Aimmune Therapeutics Inc.,1348196686,-5.91,22.07
AINV,Apollo Investment Corporation,1058573401,8.23,15.29
AIRG,Airgain Inc.,160368203,-55.14,16.03
AKAM,Akamai Technologies Inc.,-259302119,28.64,75.8
AKAO,Achaogen Inc.,31620598,-0.13,0.46
AKBA,Akebia Therapeutics Inc.,844451509,-2.94,7.6
AKCA,Akcea Therapeutics Inc.,-1667420262,-14.99,30.0
ALBO,Albireo Pharma Inc.,415980205,-8.91,33.44
ALDR,Alder BioPharmaceuticals Inc.,1100416870,-2.71,12.61
ALDX,Aldeyra Therapeutics Inc.,224094577,-4.54,8.42
ALGN,Align Technology Inc.,1969848709,59.69,290.62
ALGT,Allegiant Travel Company,-2110540428,13.39,136.97
ALKS,Alkermes plc,1073549219,-1711.0,35.97
ALLT,Allot Ltd.,270933660,-34.61,7.9
ALNA,Allena Pharmaceuticals Inc.,127804186,-3.57,6.51
ALNY,Alnylam Pharmaceuticals Inc.,969185400,-11.57,89.36
ALPN,Alpine Immune Sciences Inc.,138279666,-2.83,7.5
ALRM,Alarm.com Holdings Inc.,-1002670259,61.56,68.44
ALTR,Altair Engineering Inc.,-1708573083,173.86,36.7
ALXN,Alexion Pharmaceuticals Inc.,484888928,18.86,138.4
AMAG,AMAG Pharmaceuticals Inc.,433914125,-3.37,12.56
AMAT,Applied Materials Inc.,-2135284699,10.24,43.0
AMBA,Ambarella Inc.,1560645426,264.94,46.93
AMCX,AMC Networks Inc.,-919280446,6.94,59.95
AMD,Advanced Micro Devices Inc.,56778614,79.57,28.25
AMED,Amedisys Inc,-252067416,34.6,127.51
AMGN,Amgen Inc.,1940913519,13.28,193.02
AMKR,Amkor Technology Inc.,-2112461511,16.87,9.05
AMNB,American National Bankshares Inc.,388054832,12.91,34.65
AMOT,Allied Motion Technologies Inc.,349548884,21.56,36.74
AMPH,Amphastar Pharmaceuticals Inc.,969464164,90.09,20.95
AMRB,American River Bankshares,74070562,15.16,13.15
AMRH,Ameri Holdings Inc.,16295352,-0.62,0.35
AMRK,A-Mark Precious Metals Inc.,78470982,139.5,11.085
AMRN,Amarin Corporation plc,1958847761,-48.69,18.91
AMRS,Amyris Inc.,211107123,-0.59,2.24
AMSC,American Superconductor Corporation,272648874,-10.97,13.44
