SE | 2018-12-31 : -0.81 : 11.32 | 2018-09-30 : -0.64 : 13.83 | 2018-06-30 : -0.75 : 15.0 | 2018-03-31 : -0.64 : 11.27 | 2017-12-31 : -0.736 : 13.33 | 2017-09-30 : -0.4175 : 0.0
CRY | 2018-12-31 : -0.02 : 28.38 | 2018-09-30 : 0.04 : 35.2 | 2018-06-30 : 0.01 : 27.85 | 2018-03-31 : -0.11 : 20.05 | 2017-12-31 : -0.09 : 19.15 | 2017-09-30 : 0.04 : 22.7
NVMI | 2018-12-31 : 0.53 : 22.78 | 2018-09-30 : 0.46 : 26.31 | 2018-06-30 : 0.41 : 27.25 | 2018-03-31 : 0.49 : 27.13 | 2017-12-31 : 0.29 : 25.91 | 2017-09-30 : 0.4 : 28.11
CTMX | 2018-12-31 : -0.74 : 15.1 | 2018-09-30 : -0.53 : 18.5 | 2018-06-30 : -0.35 : 22.86 | 2018-03-31 : -0.4 : 28.45 | 2017-12-31 : 0.03 : 21.11 | 2017-09-30 : -0.28 : 18.17
MDR | 2018-12-31 : -18.54 : 6.54 | 2018-09-30 : 0.01 : 18.43 | 2018-06-30 : 0.33 : 19.65 | 2018-03-31 : 0.36 : 18.27 | 2017-12-31 : 0.27 : 19.74 | 2017-09-30 : 1.0 : 21.81
KRNY | 2018-12-31 : 0.12 : 12.7633 | 2018-09-30 : 0.12 : 13.7361 | 2018-06-30 : 0.09 : 13.3012 | 2018-03-31 : 0.07 : 12.8213 | 2017-12-31 : 0.02 : 14.2193 | 2017-09-30 : 0.07 : 15.0746
SGU | 2018-12-31 : 0.04 : 9.2212 | 2018-09-30 : -0.29 : 9.5282 | 2018-06-30 : -0.15 : 9.4411 | 2018-03-31 : 0.81 : 8.8983 | 2017-12-31 : 0.45 : 10.1284 | 2017-09-30 : -0.24 : 10.5847
AROW | 2018-12-31 : 0.6 : 31.7832 | 2018-09-30 : 0.64 : 36.4556 | 2018-06-30 : 0.6699 : 34.595 | 2018-03-31 : 0.5922 : 32.0539 | 2017-12-31 : 0.5585 : 31.8133 | 2017-09-30 : 0.52 : 31.9777
PCAR | 2018-12-31 : 1.65 : 56.8628 | 2018-09-30 : 1.55 : 67.5433 | 2018-06-30 : 1.59 : 61.102 | 2018-03-31 : 1.45 : 64.9673 | 2017-12-31 : 1.67 : 69.5296 | 2017-09-30 : 1.14 : 70.5079
WAFD | 2018-12-31 : 0.65 : 26.5308 | 2018-09-30 : 0.62 : 31.5825 | 2018-06-30 : 0.61 : 32.102 | 2018-03-31 : 0.57 : 33.789 | 2017-12-31 : 0.59 : 33.2866 | 2017-09-30 : 0.52 : 32.5619
ALKS | 2018-12-31 : -0.06 : 29.51 | 2018-09-30 : -0.22 : 42.44 | 2018-06-30 : -0.21 : 41.16 | 2018-03-31 : -0.4 : 57.96 | 2017-12-31 : -0.06 : 54.73 | 2017-09-30 : -0.24 : 50.84
